"","month","acronym","media_count","media_threat"
"422",2020-08-01,"EBA",1,"no"
"423",2020-09-01,"EBA",13,"no"
"424",2020-10-01,"EBA",15,"no"
"425",2020-11-01,"EBA",4,"no"
"426",2020-12-01,"EBA",11,"no"
"427",2021-01-01,"EBA",7,"no"
"428",2021-02-01,"EBA",5,"no"
"429",2021-03-01,"EBA",10,"no"
"430",2021-04-01,"EBA",2,"no"
"431",2021-05-01,"EBA",4,"no"
"432",2021-06-01,"EBA",2,"no"
"433",2015-07-01,"ECDC",2,"no"
"434",2015-08-01,"ECDC",0,"no"
"435",2015-09-01,"ECDC",3,"no"
"436",2015-10-01,"ECDC",0,"no"
"437",2015-11-01,"ECDC",1,"no"
"438",2015-12-01,"ECDC",2,"no"
"439",2016-01-01,"ECDC",2,"no"
"440",2016-02-01,"ECDC",3,"no"
"441",2016-03-01,"ECDC",0,"no"
"442",2016-04-01,"ECDC",1,"no"
"443",2016-05-01,"ECDC",1,"no"
"444",2016-06-01,"ECDC",1,"no"
"445",2016-07-01,"ECDC",0,"no"
"446",2016-08-01,"ECDC",0,"no"
"447",2016-09-01,"ECDC",0,"no"
"448",2016-10-01,"ECDC",1,"no"
"449",2016-11-01,"ECDC",1,"no"
"450",2016-12-01,"ECDC",1,"no"
"451",2017-01-01,"ECDC",1,"no"
"452",2017-02-01,"ECDC",2,"no"
"453",2017-03-01,"ECDC",1,"no"
"454",2017-04-01,"ECDC",0,"no"
"455",2017-05-01,"ECDC",0,"no"
"456",2017-06-01,"ECDC",0,"no"
"457",2017-07-01,"ECDC",1,"no"
"458",2017-08-01,"ECDC",1,"no"
"459",2017-09-01,"ECDC",6,"no"
"460",2017-10-01,"ECDC",0,"no"
"461",2017-11-01,"ECDC",1,"no"
"462",2017-12-01,"ECDC",2,"no"
"463",2018-01-01,"ECDC",3,"no"
"464",2018-02-01,"ECDC",2,"no"
"465",2018-03-01,"ECDC",2,"no"
"466",2018-04-01,"ECDC",2,"no"
"467",2018-05-01,"ECDC",0,"no"
"468",2018-06-01,"ECDC",0,"no"
"469",2018-07-01,"ECDC",2,"no"
"470",2018-08-01,"ECDC",6,"no"
"471",2018-09-01,"ECDC",0,"no"
"472",2018-10-01,"ECDC",0,"no"
"473",2018-11-01,"ECDC",1,"no"
"474",2018-12-01,"ECDC",0,"no"
"475",2019-01-01,"ECDC",0,"no"
"476",2019-02-01,"ECDC",1,"no"
"477",2019-03-01,"ECDC",1,"no"
"478",2019-04-01,"ECDC",3,"no"
"479",2019-05-01,"ECDC",4,"no"
"480",2019-06-01,"ECDC",1,"no"
"481",2019-07-01,"ECDC",0,"no"
"482",2019-08-01,"ECDC",1,"no"
"483",2019-09-01,"ECDC",1,"no"
"484",2019-10-01,"ECDC",1,"no"
"485",2019-11-01,"ECDC",2,"no"
"486",2019-12-01,"ECDC",0,"no"
"487",2020-01-01,"ECDC",9,"no"
"488",2020-02-01,"ECDC",21,"yes"
"489",2020-03-01,"ECDC",20,"yes"
"490",2020-04-01,"ECDC",20,"yes"
"491",2020-05-01,"ECDC",37,"yes"
"492",2020-06-01,"ECDC",28,"yes"
"493",2020-07-01,"ECDC",24,"yes"
"494",2020-08-01,"ECDC",37,"yes"
"495",2020-09-01,"ECDC",31,"yes"
"496",2020-10-01,"ECDC",38,"yes"
"497",2020-11-01,"ECDC",22,"yes"
"498",2020-12-01,"ECDC",20,"yes"
"499",2021-01-01,"ECDC",28,"yes"
"500",2021-02-01,"ECDC",21,"no"
"501",2021-03-01,"ECDC",16,"no"
"502",2021-04-01,"ECDC",20,"no"
"503",2021-05-01,"ECDC",14,"no"
"504",2021-06-01,"ECDC",24,"yes"
"505",2015-07-01,"ECHA",0,"no"
"506",2015-08-01,"ECHA",0,"no"
"507",2015-09-01,"ECHA",0,"no"
"508",2015-10-01,"ECHA",0,"no"
"509",2015-11-01,"ECHA",0,"no"
"510",2015-12-01,"ECHA",0,"no"
"511",2016-01-01,"ECHA",0,"no"
"512",2016-02-01,"ECHA",1,"no"
"513",2016-03-01,"ECHA",0,"no"
"514",2016-04-01,"ECHA",3,"yes"
"515",2016-05-01,"ECHA",1,"no"
"516",2016-06-01,"ECHA",2,"no"
"517",2016-07-01,"ECHA",0,"no"
"518",2016-08-01,"ECHA",1,"no"
"519",2016-09-01,"ECHA",1,"no"
"520",2016-10-01,"ECHA",0,"no"
"521",2016-11-01,"ECHA",0,"no"
"522",2016-12-01,"ECHA",0,"no"
"523",2017-01-01,"ECHA",0,"no"
"524",2017-02-01,"ECHA",0,"no"
"525",2017-03-01,"ECHA",4,"no"
"526",2017-04-01,"ECHA",0,"no"
"527",2017-05-01,"ECHA",1,"no"
"528",2017-06-01,"ECHA",7,"yes"
"529",2017-07-01,"ECHA",2,"no"
"530",2017-08-01,"ECHA",0,"no"
"531",2017-09-01,"ECHA",4,"yes"
"532",2017-10-01,"ECHA",6,"yes"
"533",2017-11-01,"ECHA",5,"yes"
"534",2017-12-01,"ECHA",3,"yes"
"535",2018-01-01,"ECHA",1,"no"
"536",2018-02-01,"ECHA",5,"yes"
"537",2018-03-01,"ECHA",10,"yes"
"538",2018-04-01,"ECHA",1,"no"
"539",2018-05-01,"ECHA",3,"yes"
"540",2018-06-01,"ECHA",1,"no"
"541",2018-07-01,"ECHA",2,"no"
"542",2018-08-01,"ECHA",6,"yes"
"543",2018-09-01,"ECHA",3,"yes"
"544",2018-10-01,"ECHA",1,"no"
"545",2018-11-01,"ECHA",0,"no"
"546",2018-12-01,"ECHA",2,"no"
"547",2019-01-01,"ECHA",2,"no"
"548",2019-02-01,"ECHA",3,"no"
"549",2019-03-01,"ECHA",4,"no"
"550",2019-04-01,"ECHA",1,"no"
"551",2019-05-01,"ECHA",1,"no"
"552",2019-06-01,"ECHA",0,"no"
"553",2019-07-01,"ECHA",1,"no"
"554",2019-08-01,"ECHA",0,"no"
"555",2019-09-01,"ECHA",0,"no"
"556",2019-10-01,"ECHA",0,"no"
"557",2019-11-01,"ECHA",0,"no"
"558",2019-12-01,"ECHA",0,"no"
