"","agencyname","day","hearing"
"565","BEREC OFFICE",2017-01-15,0
"566","BEREC OFFICE",2017-01-16,0
"567","BEREC OFFICE",2017-01-17,0
"568","BEREC OFFICE",2017-01-18,0
"569","BEREC OFFICE",2017-01-19,0
"570","BEREC OFFICE",2017-01-20,0
"571","BEREC OFFICE",2017-01-21,0
"572","BEREC OFFICE",2017-01-22,0
"573","BEREC OFFICE",2017-01-23,0
"574","BEREC OFFICE",2017-01-24,0
"575","BEREC OFFICE",2017-01-25,0
"576","BEREC OFFICE",2017-01-26,1
"577","BEREC OFFICE",2017-01-27,0
"578","BEREC OFFICE",2017-01-28,0
"579","BEREC OFFICE",2017-01-29,0
"580","BEREC OFFICE",2017-01-30,0
"581","BEREC OFFICE",2017-01-31,0
"582","BEREC OFFICE",2017-02-01,0
"583","BEREC OFFICE",2017-02-02,0
"584","BEREC OFFICE",2017-02-03,0
"585","BEREC OFFICE",2017-02-04,0
"586","BEREC OFFICE",2017-02-05,0
"587","BEREC OFFICE",2017-02-06,0
"588","BEREC OFFICE",2017-02-07,0
"589","BEREC OFFICE",2017-02-08,0
"590","BEREC OFFICE",2017-02-09,0
"591","BEREC OFFICE",2017-02-10,0
"592","BEREC OFFICE",2017-02-11,0
"593","BEREC OFFICE",2017-02-12,0
"594","BEREC OFFICE",2017-02-13,0
"595","BEREC OFFICE",2017-02-14,0
"596","BEREC OFFICE",2017-02-15,0
"597","BEREC OFFICE",2017-02-16,0
"598","BEREC OFFICE",2017-02-17,0
"599","BEREC OFFICE",2017-02-18,0
"600","BEREC OFFICE",2017-02-19,0
"601","BEREC OFFICE",2017-02-20,0
"602","BEREC OFFICE",2017-02-21,0
"603","BEREC OFFICE",2017-02-22,0
"604","BEREC OFFICE",2017-02-23,0
"605","BEREC OFFICE",2017-02-24,0
"606","BEREC OFFICE",2017-02-25,0
"607","BEREC OFFICE",2017-02-26,0
"608","BEREC OFFICE",2017-02-27,0
"609","BEREC OFFICE",2017-02-28,0
"610","BEREC OFFICE",2017-03-01,0
"611","BEREC OFFICE",2017-03-02,0
"612","BEREC OFFICE",2017-03-03,0
"613","BEREC OFFICE",2017-03-04,0
"614","BEREC OFFICE",2017-03-05,0
"615","BEREC OFFICE",2017-03-06,0
"616","BEREC OFFICE",2017-03-07,0
"617","BEREC OFFICE",2017-03-08,0
"618","BEREC OFFICE",2017-03-09,0
"619","BEREC OFFICE",2017-03-10,0
"620","BEREC OFFICE",2017-03-11,0
"621","BEREC OFFICE",2017-03-12,0
"622","BEREC OFFICE",2017-03-13,0
"623","BEREC OFFICE",2017-03-14,0
"624","BEREC OFFICE",2017-03-15,0
"625","BEREC OFFICE",2017-03-16,0
"626","BEREC OFFICE",2017-03-17,0
"627","BEREC OFFICE",2017-03-18,0
"628","BEREC OFFICE",2017-03-19,0
"629","BEREC OFFICE",2017-03-20,0
"630","BEREC OFFICE",2017-03-21,0
"631","BEREC OFFICE",2017-03-22,0
"632","BEREC OFFICE",2017-03-23,0
"633","BEREC OFFICE",2017-03-24,0
