"","agencyname","month","hearing"
"518","EMA",2016-06-01,0
"519","EMA",2016-07-01,0
"520","EMA",2016-08-01,0
"521","EMA",2016-09-01,0
"522","EMA",2016-10-01,0
"523","EMA",2016-11-01,0
"524","EMA",2016-12-01,0
"525","EMA",2017-01-01,0
"526","EMA",2017-02-01,0
"527","EMA",2017-03-01,0
"528","EMA",2017-04-01,1
"529","EMA",2017-05-01,0
"530","EMA",2017-06-01,0
"531","EMA",2017-07-01,0
"532","EMA",2017-08-01,0
"533","EMA",2017-09-01,0
"534","EMA",2017-10-01,0
"535","EMA",2017-11-01,0
"536","EMA",2017-12-01,0
"537","EMA",2018-01-01,1
"538","EMA",2018-02-01,0
"539","EMA",2018-03-01,1
"540","EMA",2018-04-01,0
"541","EMA",2018-05-01,0
"542","EMA",2018-06-01,0
"543","EMA",2018-07-01,0
"544","EMA",2018-08-01,0
"545","EMA",2018-09-01,0
"546","EMA",2018-10-01,1
"547","EMA",2018-11-01,0
"548","EMA",2018-12-01,0
"549","EMA",2019-01-01,0
"550","EMA",2019-02-01,0
"551","EMA",2019-03-01,0
"552","EMA",2019-04-01,0
"553","EMCDDA",2015-07-01,0
"554","EMCDDA",2015-08-01,0
"555","EMCDDA",2015-09-01,0
"556","EMCDDA",2015-10-01,0
"557","EMCDDA",2015-11-01,0
"558","EMCDDA",2015-12-01,0
"559","EMCDDA",2016-01-01,0
"560","EMCDDA",2016-02-01,0
"561","EMCDDA",2016-03-01,0
"562","EMCDDA",2016-04-01,1
"563","EMCDDA",2016-05-01,0
"564","EMCDDA",2016-06-01,0
"565","EMCDDA",2016-07-01,0
"566","EMCDDA",2016-08-01,0
"567","EMCDDA",2016-09-01,0
"568","EMCDDA",2016-10-01,0
"569","EMCDDA",2016-11-01,0
"570","EMCDDA",2016-12-01,0
"571","EMCDDA",2017-01-01,0
"572","EMCDDA",2017-02-01,0
"573","EMCDDA",2017-03-01,0
"574","EMCDDA",2017-04-01,0
"575","EMCDDA",2017-05-01,0
"576","EMCDDA",2017-06-01,0
"577","EMCDDA",2017-07-01,0
"578","EMCDDA",2017-08-01,0
"579","EMCDDA",2017-09-01,1
"580","EMCDDA",2017-10-01,0
"581","EMCDDA",2017-11-01,0
"582","EMCDDA",2017-12-01,0
"583","EMCDDA",2018-01-01,0
"584","EMCDDA",2018-02-01,1
"585","EMCDDA",2018-03-01,0
"586","EMCDDA",2018-04-01,0
"587","EMCDDA",2018-05-01,0
"588","EMCDDA",2018-06-01,0
"589","EMCDDA",2018-07-01,0
"590","EMCDDA",2018-08-01,0
"591","EMCDDA",2018-09-01,0
"592","EMCDDA",2018-10-01,0
"593","EMCDDA",2018-11-01,0
"594","EMCDDA",2018-12-01,0
"595","EMCDDA",2019-01-01,0
"596","EMCDDA",2019-02-01,0
"597","EMCDDA",2019-03-01,0
"598","EMCDDA",2019-04-01,0
"599","ENISA",2015-07-01,0
"600","ENISA",2015-08-01,0
"601","ENISA",2015-09-01,0
"602","ENISA",2015-10-01,0
"603","ENISA",2015-11-01,0
"604","ENISA",2015-12-01,0
"605","ENISA",2016-01-01,0
"606","ENISA",2016-02-01,0
"607","ENISA",2016-03-01,0
"608","ENISA",2016-04-01,2
"609","ENISA",2016-05-01,0
"610","ENISA",2016-06-01,0
"611","ENISA",2016-07-01,0
"612","ENISA",2016-08-01,0
"613","ENISA",2016-09-01,0
"614","ENISA",2016-10-01,0
"615","ENISA",2016-11-01,0
"616","ENISA",2016-12-01,0
"617","ENISA",2017-01-01,0
"618","ENISA",2017-02-01,0
"619","ENISA",2017-03-01,1
"620","ENISA",2017-04-01,0
"621","ENISA",2017-05-01,0
"622","ENISA",2017-06-01,0
"623","ENISA",2017-07-01,0
"624","ENISA",2017-08-01,0
"625","ENISA",2017-09-01,0
"626","ENISA",2017-10-01,0
"627","ENISA",2017-11-01,1
"628","ENISA",2017-12-01,0
"629","ENISA",2018-01-01,0
"630","ENISA",2018-02-01,0
"631","ENISA",2018-03-01,0
"632","ENISA",2018-04-01,0
"633","ENISA",2018-05-01,0
"634","ENISA",2018-06-01,1
"635","ENISA",2018-07-01,0
"636","ENISA",2018-08-01,0
"637","ENISA",2018-09-01,0
"638","ENISA",2018-10-01,0
"639","ENISA",2018-11-01,0
"640","ENISA",2018-12-01,0
"641","ENISA",2019-01-01,0
"642","ENISA",2019-02-01,0
"643","ENISA",2019-03-01,0
"644","ENISA",2019-04-01,0
"645","ERA",2015-07-01,0
"646","ERA",2015-08-01,0
"647","ERA",2015-09-01,0
"648","ERA",2015-10-01,0
"649","ERA",2015-11-01,0
"650","ERA",2015-12-01,0
"651","ERA",2016-01-01,0
"652","ERA",2016-02-01,0
"653","ERA",2016-03-01,0
"654","ERA",2016-04-01,0
"655","ERA",2016-05-01,0
"656","ERA",2016-06-01,0
"657","ERA",2016-07-01,0
"658","ERA",2016-08-01,0
"659","ERA",2016-09-01,0
"660","ERA",2016-10-01,0
"661","ERA",2016-11-01,0
"662","ERA",2016-12-01,0
"663","ERA",2017-01-01,0
"664","ERA",2017-02-01,0
"665","ERA",2017-03-01,0
"666","ERA",2017-04-01,0
"667","ERA",2017-05-01,0
"668","ERA",2017-06-01,0
"669","ERA",2017-07-01,0
"670","ERA",2017-08-01,0
"671","ERA",2017-09-01,0
"672","ERA",2017-10-01,0
"673","ERA",2017-11-01,0
"674","ERA",2017-12-01,0
"675","ERA",2018-01-01,2
"676","ERA",2018-02-01,0
"677","ERA",2018-03-01,0
"678","ERA",2018-04-01,0
"679","ERA",2018-05-01,0
"680","ERA",2018-06-01,0
"681","ERA",2018-07-01,0
"682","ERA",2018-08-01,0
"683","ERA",2018-09-01,0
"684","ERA",2018-10-01,0
"685","ERA",2018-11-01,0
"686","ERA",2018-12-01,0
"687","ERA",2019-01-01,0
"688","ERA",2019-02-01,0
"689","ERA",2019-03-01,0
"690","ERA",2019-04-01,0
"691","ESMA",2015-07-01,0
"692","ESMA",2015-08-01,0
"693","ESMA",2015-09-01,0
"694","ESMA",2015-10-01,0
"695","ESMA",2015-11-01,0
"696","ESMA",2015-12-01,0
"697","ESMA",2016-01-01,0
"698","ESMA",2016-02-01,0
"699","ESMA",2016-03-01,0
"700","ESMA",2016-04-01,0
"701","ESMA",2016-05-01,0
"702","ESMA",2016-06-01,1
"703","ESMA",2016-07-01,0
"704","ESMA",2016-08-01,0
"705","ESMA",2016-09-01,0
"706","ESMA",2016-10-01,0
"707","ESMA",2016-11-01,0
"708","ESMA",2016-12-01,0
"709","ESMA",2017-01-01,0
"710","ESMA",2017-02-01,0
"711","ESMA",2017-03-01,2
"712","ESMA",2017-04-01,0
"713","ESMA",2017-05-01,0
"714","ESMA",2017-06-01,0
"715","ESMA",2017-07-01,0
"716","ESMA",2017-08-01,0
"717","ESMA",2017-09-01,0
"718","ESMA",2017-10-01,0
"719","ESMA",2017-11-01,0
"720","ESMA",2017-12-01,0
"721","ESMA",2018-01-01,0
"722","ESMA",2018-02-01,0
"723","ESMA",2018-03-01,0
"724","ESMA",2018-04-01,0
"725","ESMA",2018-05-01,0
"726","ESMA",2018-06-01,0
"727","ESMA",2018-07-01,0
