"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"102","BEREC OFFICE","2015-11-01",9,"yes",0,0,0,0,0,0,159,0,0,"no","no",NA,NA,NA,NA,1,0,2,-0.333333333333333,0,NA
"103","CEDEFOP","2015-11-01",131,"yes",10,2,12,11,1,0,1388,0,0,"no","no",NA,NA,NA,NA,1,4,3,0.375,0,NA
"104","CPVO","2015-11-01",10,"yes",0,0,0,0,0,0,22,0,0,"no","no",NA,NA,NA,NA,0,1,0,1,0,NA
"105","EASA","2015-11-01",3,"yes",3,0,3,2,1,0,681,1,0,"no","no",NA,NA,NA,NA,2,4,2,0.25,15,NA
"106","EBA","2015-11-01",11,"yes",1,0,1,1,0,0,143,0,18,"no","no",NA,NA,NA,NA,0,1,1,0.5,15,NA
"107","ECDC","2015-11-01",34,"yes",16,5,21,12,3,6,1326,0,1,"no","no",NA,NA,NA,NA,18,14,6,-0.105263157894737,3,NA
"108","ECHA","2015-11-01",63,"yes",3,0,3,2,1,0,296,0,0,"no","no",NA,NA,NA,NA,2,7,6,0.333333333333333,0,NA
"109","EEA","2015-11-01",105,"yes",20,3,23,8,8,7,1356,1,3,"no","no",NA,NA,NA,NA,15,20,12,0.106382978723404,8,NA
"110","EFCA","2015-11-01",29,"yes",0,0,0,0,0,0,164,0,1,"yes","no",NA,NA,NA,NA,0,1,0,1,0,NA
"111","EFSA","2015-11-01",40,"yes",7,0,7,3,2,2,1732,0,10,"no","no",NA,NA,NA,NA,1,8,2,0.636363636363636,20,NA
"112","EIGE","2015-11-01",69,"yes",5,0,5,3,1,1,522,0,1,"no","no",NA,NA,NA,NA,3,1,1,-0.4,1,NA
"113","EIOPA","2015-11-01",10,"yes",0,0,0,0,0,0,133,0,0,"no","no",NA,NA,NA,NA,0,0,0,0,0,NA
"114","EMA","2015-11-01",43,"yes",7,1,8,6,1,1,795,1,7,"no","no",NA,NA,NA,NA,2,5,1,0.375,17,NA
"115","EMCDDA","2015-11-01",16,"yes",5,3,8,5,2,1,412,0,0,"no","no",NA,NA,NA,NA,1,4,3,0.375,2,NA
"116","EMSA","2015-11-01",17,"yes",1,1,2,1,1,0,94,0,0,"no","no",NA,NA,NA,NA,0,0,2,0,0,NA
"117","ENISA","2015-11-01",43,"yes",8,1,9,5,3,1,653,0,0,"no","no",NA,NA,NA,NA,1,16,3,0.75,1,NA
"118","ERA","2015-11-01",75,"yes",4,0,4,4,0,0,246,0,0,"no","no",NA,NA,NA,NA,1,1,1,0,1,NA
"119","ESMA","2015-11-01",37,"yes",1,0,1,1,0,0,721,0,1,"no","no",NA,NA,NA,NA,2,2,2,0,1,NA
"120","EU-OSHA","2015-11-01",54,"yes",8,2,10,9,1,0,1254,0,0,"no","no",NA,NA,NA,NA,3,10,4,0.411764705882353,1,NA
"121","EUIPO","2015-11-01",66,"yes",2,0,2,1,1,0,0,1,0,"no","no",NA,NA,NA,NA,0,3,2,0.6,8,NA
"122","EUROFOUND","2015-11-01",114,"yes",2,0,2,1,1,0,865,1,0,"no","no",NA,NA,NA,NA,2,3,5,0.1,0,NA
"123","FRA","2015-11-01",78,"yes",13,1,14,6,1,7,1205,0,1,"no","no",NA,NA,NA,NA,11,19,10,0.2,1,NA
"124","FRONTEX","2015-11-01",26,"yes",14,0,14,6,4,4,379,1,92,"yes","no",NA,NA,NA,NA,18,26,20,0.125,433,NA
"125","SRB","2015-11-01",19,"yes",0,0,0,0,0,0,114,0,2,"no","no",NA,NA,NA,NA,0,2,0,1,2,NA
"126","ACER","2015-12-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"127","BEREC OFFICE","2015-12-01",25,"yes",1,0,1,1,0,0,232,0,0,"no","no",NA,NA,NA,NA,1,0,2,-0.333333333333333,0,NA
